company_name,ticker,market,value_chain_position,public_or_private,exposure_purity,competitive_edge,key_customers_or_suppliers,key_metric_to_monitor,pricing_power,volume_visibility,margin_capture,stock_proxy_quality,why_it_matters,notes
Ajinomoto,2802,Japan,ABF film material,public,medium,Fact standard ABF film and deep customer qualification,IC substrate makers and high-performance CPU/GPU/ASIC ecosystem,ICT/functional materials profit ABF capacity pricing commentary,high,high,high,strong,Upstream choke point and highest theoretical pricing power,Diversified food and AminoScience group lowers pure-play exposure
Ibiden,4062,Japan,high-end IC package substrate,public,high,Leading cutting-edge IC package substrate capability and AI server substrate capacity,AI server CPU/GPU/ASIC customers,AI server substrate demand vs capacity Ono/Gama ramp capex customer advances,high,high,high,strong,Direct high-end ABF substrate beneficiary,Customer concentration and capex intensity are key risks
Unimicron,3037,Taiwan,ABF substrate / PCB / IC carrier,public,high,Scale Taiwanese substrate supplier with AI high-end carrier exposure,NVIDIA/AMD/ASIC/CoWoS ecosystem via customers,monthly revenue gross margin ABF mix capex LTA,medium-high,medium-high,medium-high,strong,Core Taiwan ABF substrate proxy,Need verify AI mix and high-end yield through filings and calls
Nan Ya PCB,8046,Taiwan,ABF substrate / PCB,public,high,Substrate supplier with Formosa upstream material ecosystem,AI server ASIC high-speed switch customers,monthly revenue EPS gross margin high-end substrate mix,medium-high,medium-high,medium-high,strong,Taiwan high-end ABF upcycle proxy,Can benefit from both substrate and upstream material tightness
Kinsus,3189,Taiwan,ABF substrate / IC substrate,public,medium-high,Potential high-end AI substrate entrant and capacity expansion,AI GPU/ASIC customers if qualified,monthly revenue ABF capex utilization customer qualification,medium,medium,medium,usable,High beta substrate capacity/ramp story,Execution and verified customer platform share matter
AT&S,ATS,Austria,high-end IC substrate / PCB,public,medium-high,Kulim Malaysia HVM for high-end IC substrates,AMD data center processors and other customers,Kulim utilization gross margin cash flow debt customer ramp,medium-high,medium,medium,usable,New high-end substrate capacity outside Japan/Taiwan,Large capex and ramp risk
Shinko Electric,6967,Japan,semiconductor package substrate and assembly,public,medium,Japanese advanced package substrate and assembly capability,semiconductor device makers,package substrate demand and product mix,medium,medium,medium,usable,Relevant substrate supplier but less pure from public data,Needs product-level split
Nan Ya Plastics,1303,Taiwan,electronic materials upstream,public,low-medium,Vertical electronic materials including CCL copper foil glass fabrics and substrates group exposure,PCB/substrate makers and electronics customers,electronic materials operating profit glass fabric copper foil pricing,medium,medium,medium,usable,Upstream material tightness signal and indirect ABF chain beneficiary,Not a pure ABF substrate stock
Nitto Boseki,3110,Japan,glass fiber fabric upstream,public,medium,High-end glass fiber fabric including low CTE applications,substrate and electronics material customers,T-glass/low CTE capacity pricing capex,medium-high,medium,medium,usable,Potential upstream bottleneck in AI substrate chain,Need separate ABF vs broader glass fabric exposure
Panasonic Holdings,6752,Japan,IC substrate materials,public,low,High-performance IC substrate materials portfolio,substrate makers,material revenue product launches,medium,medium,medium,weak,Technology supplier and substitute/material signal,Diversified and low pure-play exposure
