metric,Eos_Energy_EOSE_Q1_2026,Fluence_FLNC_FY2026_Q2,read_through
period_end,2026-03-31,2026-03-31,"Comparable quarter-end; Fluence reported one week earlier."
business_position,"US zinc-based long-duration battery manufacturer and storage systems supplier","Grid-scale battery energy storage systems integrator and software/services provider","Not a perfect technology match, but relevant for BESS demand and project execution."
revenue_growth,"Revenue $57.0M, +445% YoY","Revenue $431.6M, down 30.7% YoY","EOSE is earlier-stage ramp; FLNC is larger and exposed to project timing."
backlog_or_orderbook,"Backlog $644.6M / 2.6GWh at quarter-end; Frontier 2GWh reservation announced after quarter-end","Backlog $5.6B; year-to-date order intake about $2.0B","Peer data supports storage demand, but FLNC has a much larger backlog base."
gross_margin,"-78.0% gross margin","10.0% GAAP gross margin","EOSE remains far behind peer profitability despite sequential improvement."
adjusted_ebitda,"Adjusted EBITDA loss $68.0M","Adjusted EBITDA loss $7.5M","FLNC is much closer to EBITDA breakeven."
cash_flow_quality,"Operating cash flow -$119.7M; capex -$35.1M","Peer release emphasized reaffirmed FY2026 guidance; detailed cash-flow comparison requires filing check","EOSE has much higher visible cash-burn risk."
guidance,"FY2026 revenue guide $300M-$400M maintained","FY2026 guidance reaffirmed","Both support storage demand, but EOSE guidance requires a sharper ramp."
customer_demand_signal,"Frontier Power USA and 2GWh firm capacity reservation tied to AI/data-center power theme","Hyperscaler MSAs and large order intake indicate storage demand from grid/data-center customers","Peer validates demand direction, not EOSE's unit economics."
peer_signal,"Demand and capacity-ramp thesis improved, but margin/cash quality weak","Demand visible with better current margin structure","Industry beta is positive; EOSE-specific execution and financing risk remain high."
